"","ï..UDI","Product.ID","Type","Air.temperature","Process.temperature","Rotational.speed","Torque","Tool.wear","Machine.failure"
"3962",3962,"M18821","M",302.2,311.4,1642,32.1,42,0
"9824",9824,"M24683","M",298.5,309.3,1488,43.7,189,0
"6060",6060,"L53239","L",300.9,311,2235,15.8,156,0
"463",463,"L47642","L",297.4,308.7,1433,43.4,116,0
"3335",3335,"M18194","M",301.6,310.8,1548,34.2,143,0
"6756",6756,"M21615","M",301.8,311.1,1663,31.6,199,0
"7003",7003,"H36416","H",300.5,310.6,1411,47.2,201,0
"3267",3267,"L50446","L",301.3,310.1,1269,56.8,195,1
"6657",6657,"M21516","M",301.4,310.4,1553,44.7,173,0
"4661",4661,"L51840","L",303.2,311.2,1439,43.9,30,0
"6347",6347,"L53526","L",300.2,309.7,1275,60.7,15,0
"7913",7913,"L55092","L",300.7,312.1,1498,44,155,0
"9500",9500,"L56679","L",299.2,310.1,1534,37.7,10,0
"956",956,"L48135","L",295.6,306.3,1911,20.9,74,0
"1964",1964,"L49143","L",297.7,307.5,1379,43.3,111,0
"3038",3038,"L50217","L",300.5,309.7,1887,24.3,28,0
"7757",7757,"L54936","L",300.5,311.8,1368,57.9,191,1
"4567",4567,"L51746","L",302.8,310.8,1402,50.5,30,0
"6517",6517,"H35930","H",301.1,310,1470,40.1,23,0
"5773",5773,"L52952","L",301.6,311.3,1706,29.9,93,0
"8894",8894,"L56073","L",297.5,308.7,1371,46.5,121,0
"4956",4956,"M19815","M",303.8,312.5,1366,45.1,143,0
"7559",7559,"M22418","M",300.3,311.4,1386,48.1,119,0
"2405",2405,"M17264","M",299.1,308.7,2008,20.3,178,0
"1387",1387,"L48566","L",298.9,310.2,1445,40,129,0
"4039",4039,"L51218","L",302,310.9,1546,34.4,7,0
"6193",6193,"L53372","L",301,310.9,1428,45.3,47,0
"2623",2623,"M17482","M",299.6,309.4,1642,30.3,80,0
"5872",5872,"L53051","L",301.5,311.1,1469,49.5,107,0
"1226",1226,"H30639","H",297.1,308.3,1492,41.5,141,0
"5287",5287,"L52466","L",303.8,313.1,1422,42.4,152,0
"7710",7710,"L54889","L",300.5,311.4,1445,41.5,66,0
"8636",8636,"L55815","L",297.4,308.3,1704,27.3,65,0
"3399",3399,"L50578","L",301.4,310.7,1675,30.7,92,0
"8512",8512,"L55691","L",298.4,309.7,1457,44.2,175,0
"9725",9725,"M24584","M",298.8,309.7,2098,19,133,0
"2663",2663,"M17522","M",299.9,309.4,1483,38.1,193,0
"36",36,"M14895","M",298.8,309.2,1452,48.6,98,0
"7529",7529,"M22388","M",300.1,311.3,1748,26.6,42,0
"1987",1987,"L49166","L",298.1,307.6,1498,42.9,171,0
"2063",2063,"M16922","M",299.7,309.6,1477,42.7,163,0
"9282",9282,"L56461","L",298.2,308.9,1336,45,66,0
"4022",4022,"H33435","H",302.1,310.9,1452,42.5,198,0
"7867",7867,"L55046","L",300.5,311.9,1431,49.4,37,0
"5150",5150,"L52329","L",304.3,313.5,1452,41.5,15,0
"3630",3630,"L50809","L",302.1,311.3,1415,44.1,43,0
"4762",4762,"H34175","H",303.7,311.9,1332,52.7,66,1
"9638",9638,"L56817","L",299.2,310.3,1463,38.9,160,0
"5104",5104,"L52283","L",304.1,313.4,1399,43.7,111,0
"437",437,"L47616","L",297.3,308.3,1504,36.3,45,0
"7827",7827,"L55006","L",299.8,311.1,1300,64.2,165,0
"1469",1469,"M16328","M",298.6,309.8,1419,44.9,115,0
"3540",3540,"L50719","L",302,311,1686,32.5,25,0
"2897",2897,"M17756","M",300.7,309.5,1633,31.3,90,0
"436",436,"L47615","L",297.4,308.3,1493,41.2,43,0
"6838",6838,"M21697","M",301,311,1423,38.6,199,0
"5336",5336,"M20195","M",303.3,312.4,1505,38.9,68,0
"1368",1368,"M16227","M",298.8,310.2,1581,37.5,75,0
"4343",4343,"M19202","M",301.7,309.8,1284,68.2,111,1
"9444",9444,"H38857","H",298,308.8,1411,53.8,73,0
"9724",9724,"L56903","L",298.8,309.8,1599,33.6,131,0
"3905",3905,"H33318","H",302.2,311.1,1426,50.6,101,0
"8464",8464,"M23323","M",298.7,309.9,1411,45.1,51,0
"3344",3344,"M18203","M",301.5,310.8,1628,36.4,167,0
"2733",2733,"L49912","L",299.7,309.2,1346,57.4,138,0
"5480",5480,"M20339","M",302.7,312.1,1564,32.1,188,0
"3866",3866,"H33279","H",302.6,311.5,1629,34.4,228,1
"2559",2559,"M17418","M",299.2,309,1881,23.9,137,0
"1988",1988,"M16847","M",298.2,307.8,1599,31.2,173,0
"2798",2798,"M17657","M",300.3,309.6,1398,53.7,82,0
"3944",3944,"L51123","L",302.3,311.4,1333,66.7,205,1
"9540",9540,"L56719","L",299.4,310.8,1424,47.7,109,0
"1930",1930,"M16789","M",298,307.8,1483,50.9,26,0
"6156",6156,"L53335","L",301,311,1634,31.2,182,0
"3598",3598,"M18457","M",301.7,310.5,1724,33,171,0
"7896",7896,"L55075","L",300.8,312.6,1422,50,117,0
"442",442,"H29855","H",297.5,308.5,1393,46.6,56,0
"9570",9570,"M24429","M",299.8,311,1948,20,185,0
"8157",8157,"L55336","L",299.6,310.8,1644,30.9,114,0
"9813",9813,"M24672","M",298.2,309.1,1411,45.8,157,0
"983",983,"L48162","L",296.2,306.9,1516,39.1,138,0
"8826",8826,"M23685","M",297.3,308.8,1548,41.3,140,0
"3276",3276,"H32689","H",301.3,310,1532,36.3,2,0
"6725",6725,"L53904","L",301.3,310.6,1560,36.8,113,0
"4216",4216,"M19075","M",302,310.7,2157,17.8,17,0
"5294",5294,"M20153","M",303.9,313.4,1464,49.1,171,0
"2463",2463,"L49642","L",298.9,308.5,1742,34.5,117,0
"9401",9401,"L56580","L",297.7,308.2,1446,43.9,172,0
"6743",6743,"H36156","H",301.7,311.2,1639,30,161,0
"1362",1362,"M16221","M",298.6,310.1,1458,41.9,61,0
"7820",7820,"L54999","L",299.8,311.2,1369,46.2,146,0
"7319",7319,"H36732","H",299.9,310.3,1535,43.9,154,0
"7555",7555,"M22414","M",300.3,311.4,1371,50.2,109,0
"5811",5811,"L52990","L",301.3,311,1856,21.9,189,0
"5540",5540,"H34953","H",302.3,311.7,1482,39,127,0
"4287",4287,"M19146","M",301.7,309.9,1434,47.9,189,0
"7077",7077,"L54256","L",300.7,310.5,1960,21,194,0
"25",25,"M14884","M",299,309.4,1561,37.3,70,0
"9914",9914,"L57093","L",298.5,308.8,1589,30.6,11,0
"2940",2940,"L50119","L",300.9,309.7,1431,41.4,199,0
"287",287,"L47466","L",298.2,308.3,1589,33.2,94,0
"1459",1459,"L48638","L",298.9,310.3,1364,54,95,0
"2268",2268,"L49447","L",299.2,308.5,1370,52.4,61,0
"6896",6896,"M21755","M",301,311.6,1357,45.6,137,0
"2355",2355,"L49534","L",299.3,308.6,1433,37.7,42,0
"2724",2724,"L49903","L",299.7,309.4,1362,51.9,117,0
"4813",4813,"L51992","L",303.4,311.9,1531,37.9,203,0
"5711",5711,"H35124","H",302.2,311.7,1413,46.5,147,0
"1399",1399,"L48578","L",299.1,310.3,1472,46.6,157,0
"5875",5875,"M20734","M",301.5,311.1,1660,33.8,115,0
"9906",9906,"M24765","M",298.7,309.1,1423,49.5,200,0
"348",348,"L47527","L",297.5,308.3,1544,40.8,37,0
"1778",1778,"H31191","H",298.6,308.2,1555,36.8,36,0
"3063",3063,"L50242","L",299.9,309,1553,40,88,0
"6135",6135,"L53314","L",301,311,1581,37,127,0
"3128",3128,"L50307","L",300,309.5,1717,28.3,48,0
"7792",7792,"L54971","L",300.1,311.4,1418,47.7,73,0
"3176",3176,"L50355","L",300.3,309.6,1468,44.7,179,0
"6174",6174,"L53353","L",300.8,310.7,1633,27.8,0,0
"6222",6222,"M21081","M",301.2,310.9,1359,50.8,118,0
"9127",9127,"L56306","L",297.4,308.5,1477,40.7,74,0
"6939",6939,"L54118","L",300.7,311.2,1452,44.4,33,0
"9115",9115,"L56294","L",297.6,308.7,1476,39,44,0
"8254",8254,"L55433","L",299.1,310.4,1657,31,129,0
"6085",6085,"M20944","M",300.8,310.6,1505,36.2,0,0
"9270",9270,"L56449","L",298.2,308.8,1354,60.9,32,0
"1320",1320,"L48499","L",299,310.3,1929,24.4,180,0
"3250",3250,"L50429","L",301.1,309.8,1493,38.9,149,0
"269",269,"H29682","H",297.9,308,1800,24.8,44,0
"7892",7892,"L55071","L",300.8,312.5,1517,39.2,107,0
"7825",7825,"L55004","L",299.9,311.3,1535,38.1,160,0
"6476",6476,"L53655","L",300.5,309.7,1560,30.2,139,0
"3590",3590,"L50769","L",301.7,310.5,2465,13.7,149,0
"7085",7085,"L54264","L",300.6,310.3,1794,24.4,211,0
"9457",9457,"L56636","L",298.5,309.3,1630,33.3,116,0
"522",522,"L47701","L",297.5,309.4,1497,35.8,44,0
"4673",4673,"L51852","L",303.3,311.5,1412,55.6,67,0
"6461",6461,"L53640","L",300.6,310,1313,52.9,93,0
"3156",3156,"L50335","L",300.5,309.8,1367,54,129,0
"7534",7534,"L54713","L",300,311.2,1504,37.9,58,0
"1932",1932,"M16791","M",298.2,308,1969,21.7,32,0
"7357",7357,"L54536","L",299.6,310.2,1333,51.2,40,0
"2989",2989,"M17848","M",300.6,309.8,1532,42.5,130,0
"682",682,"M15541","M",297.7,309,1656,33.2,20,0
"8480",8480,"L55659","L",298.6,309.7,1627,33.4,99,0
"8902",8902,"L56081","L",297.3,308.6,1446,50.1,144,0
"6579",6579,"L53758","L",301.4,310.4,1543,40.9,190,0
"8192",8192,"M23051","M",299.6,310.9,1630,29.8,206,0
"6420",6420,"H35833","H",300.3,309.9,1394,46.7,210,1
"9405",9405,"L56584","L",297.7,308.2,2007,19.3,181,0
"5863",5863,"L53042","L",301.4,311,1470,40.6,86,0
"6736",6736,"L53915","L",301.6,311,1485,40.1,142,0
"7266",7266,"L54445","L",300.4,310.6,1384,48.7,24,0
"5244",5244,"L52423","L",303.7,313.1,1721,34.8,50,0
"2527",2527,"L49706","L",298.8,308.6,1501,35,55,0
"2501",2501,"L49680","L",299.1,308.9,1617,32.3,223,0
"3816",3816,"L50995","L",302.2,310.7,1769,24.9,91,0
"6462",6462,"L53641","L",300.6,310,1505,35.9,95,0
"8025",8025,"L55204","L",300.9,312,1493,38.7,217,0
"4423",4423,"M19282","M",302.6,310.2,2157,17.2,94,0
"4237",4237,"L51416","L",302.2,310.9,1604,40.5,68,0
"8398",8398,"L55577","L",298.5,309.6,1724,26.4,100,0
"5881",5881,"L53060","L",301.5,311.1,1434,49.6,129,0
"3655",3655,"L50834","L",302.1,311.4,1603,35.9,104,0
"6531",6531,"H35944","H",301.3,310.6,1605,32.5,59,0
"1345",1345,"L48524","L",298.5,310.1,1809,28.9,20,0
"5999",5999,"M20858","M",300.4,310.2,1613,36.9,231,0
"2685",2685,"L49864","L",299.8,309.4,1460,37.4,25,0
"9409",9409,"H38822","H",297.9,308.4,1637,34.5,191,0
"5720",5720,"L52899","L",302.3,312,1398,43.3,171,0
"7098",7098,"M21957","M",300.6,310.2,1233,52.3,23,0
"1748",1748,"L48927","L",298.4,307.9,2381,14.2,164,0
"425",425,"L47604","L",297.3,308.4,1430,45.7,15,0
"4510",4510,"L51689","L",302.4,310.1,1429,43.7,104,0
"6202",6202,"M21061","M",301,310.9,1510,44.5,66,0
"763",763,"M15622","M",296.7,307.8,1286,60.5,0,0
"5196",5196,"L52375","L",303.9,313,1551,36.8,140,0
"6167",6167,"H35580","H",300.9,310.7,1403,40.6,207,0
"7121",7121,"L54300","L",300.9,310.5,2288,16.1,85,0
"4685",4685,"M19544","M",303.6,311.8,1421,44.8,101,1
"8578",8578,"L55757","L",297.6,308.3,1502,43.2,139,0
"3805",3805,"L50984","L",302.3,310.9,1529,33.4,62,0
"6654",6654,"M21513","M",301.4,310.3,1610,29.1,166,0
"307",307,"L47486","L",297.8,308.4,1374,47.1,150,0
"5735",5735,"L52914","L",302.3,311.8,1369,56.2,208,1
"7416",7416,"L54595","L",300.1,311.2,1489,39.1,188,0
"9300",9300,"M24159","M",298.1,308.9,1335,50.4,110,0
"1942",1942,"L49121","L",298.1,307.9,1425,58.2,57,0
"720",720,"L47899","L",297.4,308.8,1447,58.1,129,0
"8677",8677,"M23536","M",297.3,308.5,1520,42.4,171,0
"3949",3949,"M18808","M",302.2,311.3,1510,37.1,10,0
"502",502,"M15361","M",297.6,309.3,1464,46.2,218,0
"4087",4087,"L51266","L",302,310.5,1567,36.1,124,0
"997",997,"M15856","M",296.3,307.2,1286,51.1,177,0
"4723",4723,"M19582","M",303.4,311.8,1391,42.7,197,0
"6842",6842,"M21701","M",301.1,311.2,1591,35,208,0
"8046",8046,"M22905","M",300.7,311.9,1366,55.1,36,0
"6670",6670,"L53849","L",301.4,310.5,1571,33.9,208,0
"2667",2667,"H32080","H",299.7,309.2,1691,27.7,203,0
"4989",4989,"L52168","L",303.8,313.1,2497,13,5,1
"8943",8943,"L56122","L",297.3,308.3,2188,17,32,0
"8923",8923,"L56102","L",297.1,308.2,1399,42.6,194,0
"9811",9811,"L56990","L",298.1,309,1502,40.9,153,0
"9702",9702,"L56881","L",298.8,309.8,1485,42.4,74,0
"878",878,"M15737","M",295.6,306.2,1584,33.6,81,0
"1655",1655,"L48834","L",298.2,308.1,1379,62.3,149,0
"3398",3398,"L50577","L",301.4,310.6,1648,30.7,90,0
"462",462,"L47641","L",297.4,308.7,1402,40.2,114,0
"1006",1006,"L48185","L",296.2,307.2,1382,52,201,0
"2876",2876,"M17735","M",300.5,309.4,1877,23.8,31,0
"1168",1168,"L48347","L",297,308.1,1362,52.5,213,1
"252",252,"M15111","M",298,308.2,1466,42.6,2,0
"8942",8942,"M23801","M",297.3,308.3,1595,32.2,29,0
"3106",3106,"L50285","L",299.8,309.1,1612,35.4,205,0
"3522",3522,"L50701","L",301.9,311,1541,38.9,193,0
"1504",1504,"L48683","L",298,308.7,1771,26.2,206,0
"3742",3742,"L50921","L",302.4,311.3,1503,38.2,120,0
"6570",6570,"M21429","M",301.4,310.7,1375,42,168,0
"3936",3936,"M18795","M",302.6,311.6,1227,68.2,187,1
"2396",2396,"M17255","M",299.2,308.5,1742,28.9,150,0
"3976",3976,"H33389","H",302.4,311.5,1540,43.7,81,0
"4883",4883,"L52062","L",303.7,312.5,1462,46.2,165,0
"5755",5755,"L52934","L",302.1,311.5,1727,27.7,50,0
"4478",4478,"L51657","L",302.6,310.3,1647,34.2,14,0
"1156",1156,"H30569","H",297,307.9,1846,27.3,179,0
"89",89,"M14948","M",299,309,1419,45.2,27,0
"6260",6260,"M21119","M",301.2,310.8,1396,47.4,5,0
"8650",8650,"L55829","L",297.4,308.4,1328,61.8,98,0
"441",441,"L47620","L",297.4,308.5,1389,39.2,54,0
"5441",5441,"H34854","H",303,312.5,1698,30,89,0
"6782",6782,"M21641","M",301.3,310.8,1494,35.3,54,0
"1807",1807,"H31220","H",298,307.6,1593,32.2,118,0
"1883",1883,"M16742","M",298,307.6,1581,43.4,113,0
"2483",2483,"L49662","L",298.9,308.7,1504,41.8,165,0
"7427",7427,"M22286","M",300,311.4,1692,29,216,1
"8201",8201,"L55380","L",299.3,310.8,1426,42.4,0,0
"5466",5466,"L52645","L",302.9,312.4,1424,49.5,155,0
"7995",7995,"L55174","L",301,312.3,1424,43.5,136,0
"4048",4048,"L51227","L",301.9,311,1455,46,29,0
"7973",7973,"L55152","L",301.1,312.2,1397,54.9,81,0
"4492",4492,"H33905","H",302.6,310.4,1409,53.3,52,0
"9126",9126,"L56305","L",297.4,308.5,1569,34.2,72,0
"1050",1050,"L48229","L",296.5,307.6,1415,44.2,106,0
"8241",8241,"L55420","L",299,310.4,1483,41.5,96,0
"5866",5866,"M20725","M",301.5,311.1,1402,40,94,0
"9060",9060,"L56239","L",297.2,308.3,1805,25.6,103,0
"2713",2713,"H32126","H",299.7,309.2,1302,55.5,87,0
"9082",9082,"L56261","L",297.3,308,1527,35.1,165,0
"1440",1440,"M16299","M",298.8,309.8,1534,37,47,0
"7258",7258,"L54437","L",300.2,310.4,1518,41.8,5,0
"8347",8347,"L55526","L",298.7,309.7,1601,35.7,176,0
"4025",4025,"M18884","M",302.1,311,1351,60.3,207,1
"3210",3210,"L50389","L",300.3,309.2,1587,31.4,43,0
"7981",7981,"M22840","M",301.2,312.4,1505,39.6,102,0
"899",899,"L48078","L",295.6,306.2,1446,49.9,133,0
"6525",6525,"L53704","L",301.1,310.4,1874,24.8,47,0
"5346",5346,"L52525","L",303.5,312.8,1524,39.4,96,0
"8120",8120,"L55299","L",300.3,311.7,1333,55.2,18,0
"8331",8331,"L55510","L",298.8,309.7,1505,39,131,0
"5271",5271,"L52450","L",303.5,312.9,1275,64.4,113,0
"6433",6433,"M21292","M",300.3,309.9,1447,46.5,28,0
"6776",6776,"L53955","L",301.2,310.6,1670,30,40,0
"9857",9857,"L57036","L",298.6,309.5,1450,44.2,63,0
"990",990,"M15849","M",296.2,307,2119,18.3,159,0
"5497",5497,"M20356","M",302.9,312.5,1924,24,17,0
"2430",2430,"L49609","L",298.9,308.3,1432,48.9,38,0
"6677",6677,"L53856","L",301.5,310.7,1423,44,222,0
"7622",7622,"L54801","L",300.5,311.5,1490,38.4,67,0
"5733",5733,"L52912","L",302.2,311.7,1412,44.5,204,0
"288",288,"L47467","L",298.2,308.3,1805,31.6,96,0
"9031",9031,"M23890","M",297.5,308.4,1403,44.3,25,0
"4128",4128,"H33541","H",302,310.6,1438,43.2,12,0
"1875",1875,"L49054","L",298.4,308.1,1598,32.7,94,0
"2498",2498,"M17357","M",299.2,308.9,1521,42.3,215,0
"6693",6693,"M21552","M",301.8,311,1839,23.6,30,0
"5950",5950,"M20809","M",300.7,310.8,1506,44,97,0
"888",888,"H30301","H",295.7,306.2,2161,16.5,105,0
"1575",1575,"L48754","L",298.2,308.2,1478,50.1,166,0
"4671",4671,"L51850","L",303.2,311.4,1610,35.5,63,0
"4772",4772,"M19631","M",303.6,311.9,1617,36,95,0
"4521",4521,"L51700","L",302.4,310.4,1456,47.6,127,0
"1841",1841,"M16700","M",297.7,307.2,1405,43.7,2,0
"3340",3340,"L50519","L",301.6,310.9,1492,45.2,155,0
"4777",4777,"L51956","L",303.5,312.1,1522,36.4,107,0
"3791",3791,"L50970","L",302.3,310.9,1412,48.9,28,0
"3136",3136,"L50315","L",300.4,309.8,1342,52.5,68,0
"4891",4891,"L52070","L",303.7,312.4,1525,43.9,188,0
"6823",6823,"M21682","M",300.9,310.6,1709,29.2,158,0
"2251",2251,"M17110","M",299.2,308.4,1396,48.7,13,0
"2762",2762,"L49941","L",299.8,309.3,1299,65.1,212,1
"1087",1087,"L48266","L",297,307.9,1455,49,204,0
"334",334,"L47513","L",297.5,308.2,1647,31.3,3,0
"1227",1227,"L48406","L",297.1,308.4,1488,42.5,146,0
"319",319,"L47498","L",297.8,308.4,1512,39.9,181,0
"8476",8476,"M23335","M",298.5,309.7,1557,37.7,86,0
"7747",7747,"M22606","M",300.4,311.7,1508,45.4,164,0
"1085",1085,"M15944","M",297,307.7,1498,47.1,199,0
"4822",4822,"L52001","L",303.5,311.9,1405,45.6,10,0
"2787",2787,"M17646","M",300.2,309.5,1630,28.3,51,0
"7997",7997,"M22856","M",301,312.2,1499,41.5,140,0
"1889",1889,"M16748","M",297.8,307.4,1902,24.3,129,0
"6542",6542,"L53721","L",301.4,310.7,1509,38.3,95,0
"6375",6375,"L53554","L",300,309.5,1506,38.8,87,0
"9379",9379,"L56558","L",297.6,308.3,1816,28.8,106,0
"4140",4140,"H33553","H",301.7,310.2,1620,30.8,42,0
"7376",7376,"M22235","M",299.4,309.9,1567,40.6,87,0
"1955",1955,"L49134","L",297.9,307.8,1459,46.9,85,0
"8940",8940,"M23799","M",297.3,308.4,1434,44.8,21,0
"5313",5313,"L52492","L",303.6,312.9,1873,23.5,7,0
"2116",2116,"L49295","L",299.4,309,1404,47.3,86,0
"987",987,"H30400","H",296.4,307.1,1638,32.5,146,0
"7962",7962,"L55141","L",301,312.2,1264,59,57,0
"11",11,"H29424","H",298.4,308.9,1782,23.9,24,0
"4053",4053,"M18912","M",301.9,310.8,1563,39.2,39,0
"4900",4900,"L52079","L",303.6,312.3,2168,17.7,219,0
"1503",1503,"L48682","L",298,308.7,1462,48.2,204,0
"1914",1914,"M16773","M",298,307.8,1492,40.2,197,0
"5904",5904,"L53083","L",300.9,310.5,1894,21.9,188,0
"9129",9129,"M23988","M",297.5,308.6,1486,45.9,78,0
"8790",8790,"L55969","L",297.4,308.5,1471,43.9,45,0
"3671",3671,"L50850","L",302.3,311.7,1701,27.5,145,0
"6809",6809,"L53988","L",301,310.7,1391,45,123,0
"5982",5982,"M20841","M",300.7,310.7,1347,46.5,183,0
"9317",9317,"H38730","H",298.5,309.4,1417,41.2,155,0
"773",773,"H30186","H",296.8,308,1453,51,24,0
"3379",3379,"L50558","L",301.5,310.7,1568,33.1,38,0
"6732",6732,"L53911","L",301.6,310.9,1385,51.2,132,0
"7295",7295,"L54474","L",300.1,310.6,1809,24.3,97,0
"5762",5762,"L52941","L",301.9,311.2,1369,49.8,66,0
"5210",5210,"M20069","M",303.8,312.7,1507,38.5,180,0
"7128",7128,"L54307","L",300.6,310,1438,53.8,103,0
"5522",5522,"L52701","L",302.6,311.9,1397,46.9,82,0
"4714",4714,"L51893","L",303.5,311.8,1451,45.2,173,0
"7648",7648,"L54827","L",300.4,311.4,1728,31.7,133,0
"6973",6973,"L54152","L",300.7,311,1377,49.9,124,0
"1072",1072,"L48251","L",296.9,307.8,1425,49.1,163,0
"2437",2437,"H31850","H",299,308.2,1662,30.4,55,0
"2196",2196,"L49375","L",299.6,308.9,1613,30.8,80,0
"1511",1511,"M16370","M",298.1,308.7,1547,38.9,0,0
"1957",1957,"M16816","M",297.9,307.7,1364,46.8,89,0
"5592",5592,"L52771","L",302.5,312,1574,33.8,63,0
"9192",9192,"M24051","M",297.9,309,1970,21.6,37,0
"2051",2051,"M16910","M",299.5,309.3,1675,29.2,132,0
"1250",1250,"L48429","L",297.3,308.7,1467,36.8,216,0
"449",449,"L47628","L",297.5,308.6,1552,44.9,77,0
"5437",5437,"M20296","M",302.9,312.5,1679,30.9,79,0
"9155",9155,"L56334","L",297.5,308.6,1596,36,141,0
"5457",5457,"M20316","M",303.1,312.6,1567,32.9,132,0
"5130",5130,"M19989","M",304.1,313.3,1725,28.3,177,0
"5968",5968,"L53147","L",300.4,310.8,1390,52.5,144,0
"6515",6515,"L53694","L",301,309.9,1507,41.8,19,0
"9303",9303,"M24162","M",298.1,308.9,1804,25.1,118,0
"7280",7280,"L54459","L",300,310.1,1465,40.9,60,0
"2412",2412,"L49591","L",299,308.5,1559,38.1,194,0
"9555",9555,"M24414","M",299.3,310.7,1440,45.5,146,0
"7273",7273,"L54452","L",300.2,310.3,1202,59.5,40,0
"1461",1461,"L48640","L",299,310.3,1437,47.8,99,0
